well,gas_gravity
M-11-HRL,	0.7
M-122H-HRL,	0.77
M-123H-HRL,	0.75
M-124H-HRL,	0.76
M-125H-HRL,	0.75
M-126H-HRL,	0.78
M-13-HRL,	0.69
M-22-HRL,	0.77
M-41-HRL,	0.69
M-50-HRL,	0.76
M-51-HRL,	0.77
M-56-HRL,	0.72
M-57-HRL,	0.75
M-58-HRL,	0.76
M-61-HRL,	0.80
M-63-HRL,	0.75
M-65-HRL,	0.72
M-67-HRL,	0.76
M-75-HRL,	0.74
M-81-HRL,	0.77
M-82-HRL,	0.77
M-E-2-HRL,	0.78
