subset,n_models,strategy,c_index,mae_events,median_error,max_error
Cox+XGBc+XGBa+Stk,4,Trimmed Mean,0.84,87.3,85.2,212.8
Cox+XGBc+XGBa+Stk,4,Median,0.84,87.3,85.2,212.8
Cox+XGBc+XGBa+Stk,4,Geometric Mean,0.792,87.7,71.5,226.1
Cox+XGBc+XGBa+Stk,4,Inv-MAE Weighted,0.821,92.5,87.9,201.3
Cox+XGBc+XGBa+Stk,4,Rank Fusion,0.792,82.5,63.8,209.1
Cox+XGBc+GBSA+CWGB,4,Simple Mean,0.774,122.4,89.9,521.9
Cox+XGBc+GBSA+CWGB,4,Trimmed Mean,0.792,135.2,81.4,756.5
Cox+XGBc+GBSA+CWGB,4,Median,0.792,135.2,81.4,756.5
Cox+XGBc+GBSA+CWGB,4,Geometric Mean,0.764,107.5,84.5,339.4
Cox+XGBc+GBSA+CWGB,4,Inv-MAE Weighted,0.764,120.9,90.0,518.3
Cox+XGBc+GBSA+CWGB,4,Rank Fusion,0.774,91.1,80.5,241.3
Cox+XGBc+GBSA+Stk,4,Simple Mean,0.811,107.0,86.9,443.9
Cox+XGBc+GBSA+Stk,4,Trimmed Mean,0.792,106.1,60.9,600.5
Cox+XGBc+GBSA+Stk,4,Median,0.792,106.1,60.9,600.5
Cox+XGBc+GBSA+Stk,4,Geometric Mean,0.774,100.7,73.8,281.4
Cox+XGBc+GBSA+Stk,4,Inv-MAE Weighted,0.802,103.6,70.6,437.3
Cox+XGBc+GBSA+Stk,4,Rank Fusion,0.821,81.5,71.7,163.8
Cox+XGBc+CWGB+Stk,4,Simple Mean,0.755,107.5,72.2,426.6
Cox+XGBc+CWGB+Stk,4,Trimmed Mean,0.792,106.2,63.2,566.0
Cox+XGBc+CWGB+Stk,4,Median,0.792,106.2,63.2,566.0
Cox+XGBc+CWGB+Stk,4,Geometric Mean,0.745,102.8,84.3,271.2
Cox+XGBc+CWGB+Stk,4,Inv-MAE Weighted,0.764,106.2,70.2,432.5
Cox+XGBc+CWGB+Stk,4,Rank Fusion,0.764,99.0,108.3,241.3
Cox+XGBa+GBSA+CWGB,4,Simple Mean,0.802,111.3,78.7,510.7
Cox+XGBa+GBSA+CWGB,4,Trimmed Mean,0.802,130.8,81.4,756.5
Cox+XGBa+GBSA+CWGB,4,Median,0.802,130.8,81.4,756.5
Cox+XGBa+GBSA+CWGB,4,Geometric Mean,0.783,77.5,59.3,291.7
Cox+XGBa+GBSA+CWGB,4,Inv-MAE Weighted,0.802,101.7,72.2,452.7
Cox+XGBa+GBSA+CWGB,4,Rank Fusion,0.83,73.8,76.0,209.1
Cox+XGBa+GBSA+Stk,4,Simple Mean,0.811,95.9,70.2,432.8
Cox+XGBa+GBSA+Stk,4,Trimmed Mean,0.821,100.9,40.0,600.5
Cox+XGBa+GBSA+Stk,4,Median,0.821,100.9,40.0,600.5
Cox+XGBa+GBSA+Stk,4,Geometric Mean,0.811,71.3,48.6,237.4
Cox+XGBa+GBSA+Stk,4,Inv-MAE Weighted,0.811,87.5,52.6,383.6
Cox+XGBa+GBSA+Stk,4,Rank Fusion,0.83,77.8,51.5,209.1
Cox+XGBa+CWGB+Stk,4,Simple Mean,0.792,94.7,57.5,415.5
Cox+XGBa+CWGB+Stk,4,Trimmed Mean,0.802,103.0,44.2,566.0
Cox+XGBa+CWGB+Stk,4,Median,0.802,103.0,44.2,566.0
Cox+XGBa+CWGB+Stk,4,Geometric Mean,0.774,72.5,52.5,227.9
Cox+XGBa+CWGB+Stk,4,Inv-MAE Weighted,0.792,91.0,54.5,380.5
Cox+XGBa+CWGB+Stk,4,Rank Fusion,0.821,72.1,55.8,209.1
Cox+GBSA+CWGB+Stk,4,Simple Mean,0.792,133.7,86.1,678.5
Cox+GBSA+CWGB+Stk,4,Trimmed Mean,0.792,134.8,77.2,756.5
Cox+GBSA+CWGB+Stk,4,Median,0.792,134.8,77.2,756.5
Cox+GBSA+CWGB+Stk,4,Geometric Mean,0.792,126.1,88.5,665.7
Cox+GBSA+CWGB+Stk,4,Inv-MAE Weighted,0.783,127.2,86.3,648.8
Cox+GBSA+CWGB+Stk,4,Rank Fusion,0.802,89.4,91.0,163.8
Weib+XGBc+XGBa+GBSA,4,Simple Mean,0.811,104.1,77.7,276.2
Weib+XGBc+XGBa+GBSA,4,Trimmed Mean,0.821,88.3,49.3,287.3
Weib+XGBc+XGBa+GBSA,4,Median,0.821,88.3,49.3,287.3
Weib+XGBc+XGBa+GBSA,4,Geometric Mean,0.811,74.1,35.7,215.9
Weib+XGBc+XGBa+GBSA,4,Inv-MAE Weighted,0.811,87.7,68.7,202.7
Weib+XGBc+XGBa+GBSA,4,Rank Fusion,0.83,76.2,76.0,209.1
Weib+XGBc+XGBa+CWGB,4,Simple Mean,0.792,98.2,94.6,258.9
Weib+XGBc+XGBa+CWGB,4,Trimmed Mean,0.802,89.9,60.7,252.8
Weib+XGBc+XGBa+CWGB,4,Median,0.802,89.9,60.7,252.8
Weib+XGBc+XGBa+CWGB,4,Geometric Mean,0.792,77.3,54.7,200.9
Weib+XGBc+XGBa+CWGB,4,Inv-MAE Weighted,0.802,83.8,67.2,184.4
Weib+XGBc+XGBa+CWGB,4,Rank Fusion,0.764,87.9,61.8,209.1
Weib+XGBc+XGBa+Stk,4,Simple Mean,0.821,96.3,81.8,211.6
Weib+XGBc+XGBa+Stk,4,Trimmed Mean,0.83,90.0,87.1,212.8
Weib+XGBc+XGBa+Stk,4,Median,0.83,90.0,87.1,212.8
Weib+XGBc+XGBa+Stk,4,Geometric Mean,0.783,85.6,73.1,230.2
Weib+XGBc+XGBa+Stk,4,Inv-MAE Weighted,0.83,85.7,65.8,216.2
Weib+XGBc+XGBa+Stk,4,Rank Fusion,0.792,82.5,63.8,209.1
Weib+XGBc+GBSA+CWGB,4,Simple Mean,0.783,140.7,102.1,521.9
Weib+XGBc+GBSA+CWGB,4,Trimmed Mean,0.802,146.5,84.9,756.5
Weib+XGBc+GBSA+CWGB,4,Median,0.802,146.5,84.9,756.5
Weib+XGBc+GBSA+CWGB,4,Geometric Mean,0.783,112.1,83.0,339.4
Weib+XGBc+GBSA+CWGB,4,Inv-MAE Weighted,0.792,134.9,105.7,490.5
Weib+XGBc+GBSA+CWGB,4,Rank Fusion,0.764,99.7,80.5,209.1
Weib+XGBc+GBSA+Stk,4,Simple Mean,0.811,125.4,78.0,443.9
Weib+XGBc+GBSA+Stk,4,Trimmed Mean,0.783,124.5,68.8,600.5
Weib+XGBc+GBSA+Stk,4,Median,0.783,124.5,68.8,600.5
Weib+XGBc+GBSA+Stk,4,Geometric Mean,0.764,100.8,63.1,281.4
Weib+XGBc+GBSA+Stk,4,Inv-MAE Weighted,0.802,115.0,79.8,405.6
Weib+XGBc+GBSA+Stk,4,Rank Fusion,0.783,94.0,86.5,232.7
Weib+XGBc+CWGB+Stk,4,Simple Mean,0.764,120.3,90.8,426.6
Weib+XGBc+CWGB+Stk,4,Trimmed Mean,0.783,113.7,67.2,566.0
Weib+XGBc+CWGB+Stk,4,Median,0.783,113.7,67.2,566.0
Weib+XGBc+CWGB+Stk,4,Geometric Mean,0.745,96.9,88.2,271.2
Weib+XGBc+CWGB+Stk,4,Inv-MAE Weighted,0.792,111.3,88.0,401.4
Weib+XGBc+CWGB+Stk,4,Rank Fusion,0.745,104.8,108.3,275.7
Weib+XGBa+GBSA+CWGB,4,Simple Mean,0.802,129.6,83.5,510.7
Weib+XGBa+GBSA+CWGB,4,Trimmed Mean,0.802,142.7,84.9,756.5
Weib+XGBa+GBSA+CWGB,4,Median,0.802,142.7,84.9,756.5
Weib+XGBa+GBSA+CWGB,4,Geometric Mean,0.802,88.7,67.4,291.7
Weib+XGBa+GBSA+CWGB,4,Inv-MAE Weighted,0.821,112.9,83.5,420.9
Weib+XGBa+GBSA+CWGB,4,Rank Fusion,0.821,79.6,85.0,209.1
Weib+XGBa+GBSA+Stk,4,Simple Mean,0.821,114.2,72.6,432.8
Weib+XGBa+GBSA+Stk,4,Trimmed Mean,0.821,119.2,68.2,600.5
Weib+XGBa+GBSA+Stk,4,Median,0.821,119.2,68.2,600.5
Weib+XGBa+GBSA+Stk,4,Geometric Mean,0.811,79.0,54.8,237.4
Weib+XGBa+GBSA+Stk,4,Inv-MAE Weighted,0.821,96.8,66.4,349.5
Weib+XGBa+GBSA+Stk,4,Rank Fusion,0.811,86.4,68.8,209.1
Weib+XGBa+CWGB+Stk,4,Simple Mean,0.811,109.3,73.9,415.5
Weib+XGBa+CWGB+Stk,4,Trimmed Mean,0.802,110.0,62.7,566.0
Weib+XGBa+CWGB+Stk,4,Median,0.802,110.0,62.7,566.0
Weib+XGBa+CWGB+Stk,4,Geometric Mean,0.802,74.6,56.5,227.9
Weib+XGBa+CWGB+Stk,4,Inv-MAE Weighted,0.811,93.9,71.4,347.2
Weib+XGBa+CWGB+Stk,4,Rank Fusion,0.802,75.9,55.8,209.1
Weib+GBSA+CWGB+Stk,4,Simple Mean,0.792,151.7,101.8,678.5
Weib+GBSA+CWGB+Stk,4,Trimmed Mean,0.802,144.9,101.4,756.5
Weib+GBSA+CWGB+Stk,4,Median,0.802,144.9,101.4,756.5
Weib+GBSA+CWGB+Stk,4,Geometric Mean,0.792,138.8,97.9,665.7
Weib+GBSA+CWGB+Stk,4,Inv-MAE Weighted,0.802,140.2,107.0,636.0
Weib+GBSA+CWGB+Stk,4,Rank Fusion,0.811,83.7,91.0,163.8
XGBc+XGBa+GBSA+CWGB,4,Simple Mean,0.802,91.6,73.5,258.9
XGBc+XGBa+GBSA+CWGB,4,Trimmed Mean,0.811,83.6,61.5,252.8
XGBc+XGBa+GBSA+CWGB,4,Median,0.811,83.6,61.5,252.8
XGBc+XGBa+GBSA+CWGB,4,Geometric Mean,0.802,79.0,46.8,197.4
XGBc+XGBa+GBSA+CWGB,4,Inv-MAE Weighted,0.802,86.2,75.0,199.9
XGBc+XGBa+GBSA+CWGB,4,Rank Fusion,0.821,80.5,60.5,209.1
XGBc+XGBa+GBSA+Stk,4,Simple Mean,0.821,83.8,45.1,206.1
XGBc+XGBa+GBSA+Stk,4,Trimmed Mean,0.84,84.3,86.7,212.8
XGBc+XGBa+GBSA+Stk,4,Median,0.84,84.3,86.7,212.8
XGBc+XGBa+GBSA+Stk,4,Geometric Mean,0.802,81.0,42.6,227.3
XGBc+XGBa+GBSA+Stk,4,Inv-MAE Weighted,0.811,80.8,54.8,209.7
XGBc+XGBa+GBSA+Stk,4,Rank Fusion,0.84,76.3,76.0,209.1
XGBc+XGBa+CWGB+Stk,4,Simple Mean,0.783,85.8,96.8,175.5
XGBc+XGBa+CWGB+Stk,4,Trimmed Mean,0.821,84.6,85.2,212.8
XGBc+XGBa+CWGB+Stk,4,Median,0.821,84.6,85.2,212.8
XGBc+XGBa+CWGB+Stk,4,Geometric Mean,0.783,83.4,61.2,213.3
XGBc+XGBa+CWGB+Stk,4,Inv-MAE Weighted,0.802,84.6,93.5,181.2
XGBc+XGBa+CWGB+Stk,4,Rank Fusion,0.792,76.4,46.6,209.1
XGBc+GBSA+CWGB+Stk,4,Simple Mean,0.774,111.0,87.6,426.6
XGBc+GBSA+CWGB+Stk,4,Trimmed Mean,0.802,110.6,60.9,566.0
XGBc+GBSA+CWGB+Stk,4,Median,0.802,110.6,60.9,566.0
XGBc+GBSA+CWGB+Stk,4,Geometric Mean,0.774,101.9,81.5,271.2
XGBc+GBSA+CWGB+Stk,4,Inv-MAE Weighted,0.792,106.2,86.8,411.0
XGBc+GBSA+CWGB+Stk,4,Rank Fusion,0.792,87.3,80.5,174.6
XGBa+GBSA+CWGB+Stk,4,Simple Mean,0.802,99.9,72.0,415.5
XGBa+GBSA+CWGB+Stk,4,Trimmed Mean,0.811,105.6,59.8,566.0
XGBa+GBSA+CWGB+Stk,4,Median,0.811,105.6,59.8,566.0
XGBa+GBSA+CWGB+Stk,4,Geometric Mean,0.792,72.5,51.7,227.9
XGBa+GBSA+CWGB+Stk,4,Inv-MAE Weighted,0.802,89.5,70.6,357.4
XGBa+GBSA+CWGB+Stk,4,Rank Fusion,0.84,73.8,68.8,209.1
Cox+Weib+XGBc+XGBa+GBSA,5,Simple Mean,0.802,108.9,69.2,379.1
Cox+Weib+XGBc+XGBa+GBSA,5,Trimmed Mean,0.792,99.4,60.4,455.2
Cox+Weib+XGBc+XGBa+GBSA,5,Median,0.807,129.2,75.4,791.0
Cox+Weib+XGBc+XGBa+GBSA,5,Geometric Mean,0.792,77.7,49.0,194.9
Cox+Weib+XGBc+XGBa+GBSA,5,Inv-MAE Weighted,0.802,96.4,70.8,316.7
Cox+Weib+XGBc+XGBa+GBSA,5,Rank Fusion,0.811,80.6,58.8,209.1
Cox+Weib+XGBc+XGBa+CWGB,5,Simple Mean,0.792,104.9,87.2,365.3
Cox+Weib+XGBc+XGBa+CWGB,5,Trimmed Mean,0.783,96.3,64.2,432.2
Cox+Weib+XGBc+XGBa+CWGB,5,Median,0.745,131.8,77.7,721.9
Cox+Weib+XGBc+XGBa+CWGB,5,Geometric Mean,0.783,79.8,66.6,181.5
Cox+Weib+XGBc+XGBa+CWGB,5,Inv-MAE Weighted,0.792,94.2,67.5,315.5
Cox+Weib+XGBc+XGBa+CWGB,5,Rank Fusion,0.774,81.4,63.8,209.1
Cox+Weib+XGBc+XGBa+Stk,5,Simple Mean,0.802,100.9,87.9,302.9
Cox+Weib+XGBc+XGBa+Stk,5,Trimmed Mean,0.802,98.2,73.0,328.2
Cox+Weib+XGBc+XGBa+Stk,5,Median,0.778,108.7,75.4,410.0
Cox+Weib+XGBc+XGBa+Stk,5,Geometric Mean,0.783,86.0,65.7,207.9
Cox+Weib+XGBc+XGBa+Stk,5,Inv-MAE Weighted,0.811,92.4,75.3,269.2
Cox+Weib+XGBc+XGBa+Stk,5,Rank Fusion,0.783,84.4,63.8,209.1
Cox+Weib+XGBc+GBSA+CWGB,5,Simple Mean,0.783,138.9,105.5,575.7
Cox+Weib+XGBc+GBSA+CWGB,5,Trimmed Mean,0.792,140.7,101.5,768.0
Cox+Weib+XGBc+GBSA+CWGB,5,Median,0.774,134.2,73.2,791.0
Cox+Weib+XGBc+GBSA+CWGB,5,Geometric Mean,0.764,115.5,84.7,413.5
Cox+Weib+XGBc+GBSA+CWGB,5,Inv-MAE Weighted,0.783,134.2,106.1,561.7
Cox+Weib+XGBc+GBSA+CWGB,5,Rank Fusion,0.774,93.3,97.8,198.3
Cox+Weib+XGBc+GBSA+Stk,5,Simple Mean,0.792,126.6,89.4,513.3
Cox+Weib+XGBc+GBSA+Stk,5,Trimmed Mean,0.792,123.1,73.0,664.0
Cox+Weib+XGBc+GBSA+Stk,5,Median,0.792,133.6,75.0,791.0
Cox+Weib+XGBc+GBSA+Stk,5,Geometric Mean,0.764,105.3,76.7,362.1
Cox+Weib+XGBc+GBSA+Stk,5,Inv-MAE Weighted,0.802,118.0,90.3,488.3
Cox+Weib+XGBc+GBSA+Stk,5,Rank Fusion,0.783,90.4,91.0,198.3
Cox+Weib+XGBc+CWGB+Stk,5,Simple Mean,0.774,122.7,89.3,499.5
Cox+Weib+XGBc+CWGB+Stk,5,Trimmed Mean,0.802,116.8,62.1,641.0
Cox+Weib+XGBc+CWGB+Stk,5,Median,0.783,127.3,73.3,721.9
Cox+Weib+XGBc+CWGB+Stk,5,Geometric Mean,0.745,103.0,82.2,353.0
Cox+Weib+XGBc+CWGB+Stk,5,Inv-MAE Weighted,0.792,115.6,84.4,482.9
Cox+Weib+XGBc+CWGB+Stk,5,Rank Fusion,0.783,95.2,108.3,172.3
Cox+Weib+XGBa+GBSA+CWGB,5,Simple Mean,0.792,130.0,97.6,566.8
Cox+Weib+XGBa+GBSA+CWGB,5,Trimmed Mean,0.802,137.6,100.8,768.0
Cox+Weib+XGBa+GBSA+CWGB,5,Median,0.792,129.1,73.2,791.0
Cox+Weib+XGBa+GBSA+CWGB,5,Geometric Mean,0.792,95.0,70.0,371.3
Cox+Weib+XGBa+GBSA+CWGB,5,Inv-MAE Weighted,0.811,117.1,97.6,503.2
Cox+Weib+XGBa+GBSA+CWGB,5,Rank Fusion,0.802,79.6,63.8,209.1
Cox+Weib+XGBa+GBSA+Stk,5,Simple Mean,0.802,117.7,75.7,504.4
Cox+Weib+XGBa+GBSA+Stk,5,Trimmed Mean,0.811,119.6,67.8,664.0
Cox+Weib+XGBa+GBSA+Stk,5,Median,0.807,131.1,70.6,791.0
Cox+Weib+XGBa+GBSA+Stk,5,Geometric Mean,0.792,86.0,61.0,322.5
Cox+Weib+XGBa+GBSA+Stk,5,Inv-MAE Weighted,0.802,103.3,75.4,439.0
Cox+Weib+XGBa+GBSA+Stk,5,Rank Fusion,0.811,86.4,73.8,209.1
Cox+Weib+XGBa+CWGB+Stk,5,Simple Mean,0.811,113.8,81.0,490.6
Cox+Weib+XGBa+CWGB+Stk,5,Trimmed Mean,0.811,114.3,51.7,641.0
Cox+Weib+XGBa+CWGB+Stk,5,Median,0.783,125.9,71.5,721.9
Cox+Weib+XGBa+CWGB+Stk,5,Geometric Mean,0.792,82.7,58.8,313.9
Cox+Weib+XGBa+CWGB+Stk,5,Inv-MAE Weighted,0.811,101.4,72.4,435.1
Cox+Weib+XGBa+CWGB+Stk,5,Rank Fusion,0.802,81.5,56.6,209.1
Cox+Weib+GBSA+CWGB+Stk,5,Simple Mean,0.792,147.7,97.9,701.0
Cox+Weib+GBSA+CWGB+Stk,5,Trimmed Mean,0.792,139.7,101.9,768.0
Cox+Weib+GBSA+CWGB+Stk,5,Median,0.783,129.4,73.2,791.0
Cox+Weib+GBSA+CWGB+Stk,5,Geometric Mean,0.783,136.9,101.1,689.6
Cox+Weib+GBSA+CWGB+Stk,5,Inv-MAE Weighted,0.792,138.4,98.1,669.4
Cox+Weib+GBSA+CWGB+Stk,5,Rank Fusion,0.802,89.4,91.0,163.8
Cox+XGBc+XGBa+GBSA+CWGB,5,Simple Mean,0.802,97.5,81.3,365.3
Cox+XGBc+XGBa+GBSA+CWGB,5,Trimmed Mean,0.811,93.4,72.1,432.2
Cox+XGBc+XGBa+GBSA+CWGB,5,Median,0.821,113.4,53.0,721.9
Cox+XGBc+XGBa+GBSA+CWGB,5,Geometric Mean,0.792,82.3,65.5,178.3
Cox+XGBc+XGBa+GBSA+CWGB,5,Inv-MAE Weighted,0.802,93.0,75.4,325.1
Cox+XGBc+XGBa+GBSA+CWGB,5,Rank Fusion,0.802,77.7,63.8,209.1
Cox+XGBc+XGBa+GBSA+Stk,5,Simple Mean,0.811,89.6,67.8,302.9
Cox+XGBc+XGBa+GBSA+Stk,5,Trimmed Mean,0.821,89.4,55.6,328.2
Cox+XGBc+XGBa+GBSA+Stk,5,Median,0.807,101.4,61.1,410.0
Cox+XGBc+XGBa+GBSA+Stk,5,Geometric Mean,0.792,81.3,75.9,205.2
Cox+XGBc+XGBa+GBSA+Stk,5,Inv-MAE Weighted,0.811,87.1,69.0,278.9
Cox+XGBc+XGBa+GBSA+Stk,5,Rank Fusion,0.811,80.6,58.8,209.1
Cox+XGBc+XGBa+CWGB+Stk,5,Simple Mean,0.783,92.4,69.8,289.1
Cox+XGBc+XGBa+CWGB+Stk,5,Trimmed Mean,0.802,89.4,63.8,305.2
Cox+XGBc+XGBa+CWGB+Stk,5,Median,0.783,102.9,65.6,410.0
Cox+XGBc+XGBa+CWGB+Stk,5,Geometric Mean,0.783,83.7,85.2,192.6
Cox+XGBc+XGBa+CWGB+Stk,5,Inv-MAE Weighted,0.792,89.7,71.1,278.6
Cox+XGBc+XGBa+CWGB+Stk,5,Rank Fusion,0.792,79.6,63.8,209.1
Cox+XGBc+GBSA+CWGB+Stk,5,Simple Mean,0.783,115.2,87.9,499.5
Cox+XGBc+GBSA+CWGB+Stk,5,Trimmed Mean,0.792,116.8,74.6,641.0
Cox+XGBc+GBSA+CWGB+Stk,5,Median,0.783,120.1,73.3,721.9
Cox+XGBc+GBSA+CWGB+Stk,5,Geometric Mean,0.774,104.3,76.6,353.0
Cox+XGBc+GBSA+CWGB+Stk,5,Inv-MAE Weighted,0.783,111.5,86.3,488.9
Cox+XGBc+GBSA+CWGB+Stk,5,Rank Fusion,0.792,89.4,108.3,172.3
Cox+XGBa+GBSA+CWGB+Stk,5,Simple Mean,0.802,106.3,77.0,490.6
Cox+XGBa+GBSA+CWGB+Stk,5,Trimmed Mean,0.802,113.3,69.1,641.0
Cox+XGBa+GBSA+CWGB+Stk,5,Median,0.802,114.8,60.8,721.9
Cox+XGBa+GBSA+CWGB+Stk,5,Geometric Mean,0.792,78.8,62.6,313.9
Cox+XGBa+GBSA+CWGB+Stk,5,Inv-MAE Weighted,0.811,97.8,70.6,441.7
Cox+XGBa+GBSA+CWGB+Stk,5,Rank Fusion,0.821,76.7,60.9,209.1
Weib+XGBc+XGBa+GBSA+CWGB,5,Simple Mean,0.802,112.1,92.3,365.3
Weib+XGBc+XGBa+GBSA+CWGB,5,Trimmed Mean,0.811,100.4,63.7,432.2
Weib+XGBc+XGBa+GBSA+CWGB,5,Median,0.792,119.3,74.3,721.9
Weib+XGBc+XGBa+GBSA+CWGB,5,Geometric Mean,0.783,78.2,44.6,188.8
Weib+XGBc+XGBa+GBSA+CWGB,5,Inv-MAE Weighted,0.821,98.4,84.2,290.2
Weib+XGBc+XGBa+GBSA+CWGB,5,Rank Fusion,0.792,80.5,63.8,209.1
Weib+XGBc+XGBa+GBSA+Stk,5,Simple Mean,0.811,100.9,70.1,302.9
Weib+XGBc+XGBa+GBSA+Stk,5,Trimmed Mean,0.83,92.5,56.8,328.2
Weib+XGBc+XGBa+GBSA+Stk,5,Median,0.802,103.3,64.0,410.0
Weib+XGBc+XGBa+GBSA+Stk,5,Geometric Mean,0.792,78.8,46.7,209.0
Weib+XGBc+XGBa+GBSA+Stk,5,Inv-MAE Weighted,0.811,87.8,56.7,244.1
Weib+XGBc+XGBa+GBSA+Stk,5,Rank Fusion,0.792,89.3,73.8,209.1
Weib+XGBc+XGBa+CWGB+Stk,5,Simple Mean,0.802,95.8,91.6,289.1
Weib+XGBc+XGBa+CWGB+Stk,5,Trimmed Mean,0.802,94.6,71.3,305.2
Weib+XGBc+XGBa+CWGB+Stk,5,Median,0.774,107.3,75.4,410.0
Weib+XGBc+XGBa+CWGB+Stk,5,Geometric Mean,0.802,81.6,62.9,196.6
Weib+XGBc+XGBa+CWGB+Stk,5,Inv-MAE Weighted,0.821,85.8,70.2,244.6
Weib+XGBc+XGBa+CWGB+Stk,5,Rank Fusion,0.783,82.5,63.8,209.1
Weib+XGBc+GBSA+CWGB+Stk,5,Simple Mean,0.783,129.8,97.3,499.5
Weib+XGBc+GBSA+CWGB+Stk,5,Trimmed Mean,0.792,126.4,80.4,641.0
Weib+XGBc+GBSA+CWGB+Stk,5,Median,0.802,126.2,68.8,721.9
Weib+XGBc+GBSA+CWGB+Stk,5,Geometric Mean,0.783,106.7,74.1,353.0
Weib+XGBc+GBSA+CWGB+Stk,5,Inv-MAE Weighted,0.792,120.8,94.8,467.1
Weib+XGBc+GBSA+CWGB+Stk,5,Rank Fusion,0.774,93.3,97.8,198.3
Weib+XGBa+GBSA+CWGB+Stk,5,Simple Mean,0.802,120.9,88.8,490.6
Weib+XGBa+GBSA+CWGB+Stk,5,Trimmed Mean,0.802,122.9,79.7,641.0
Weib+XGBa+GBSA+CWGB+Stk,5,Median,0.802,121.1,68.8,721.9
Weib+XGBa+GBSA+CWGB+Stk,5,Geometric Mean,0.792,87.3,58.9,313.9
Weib+XGBa+GBSA+CWGB+Stk,5,Inv-MAE Weighted,0.821,105.6,79.8,417.9
Weib+XGBa+GBSA+CWGB+Stk,5,Rank Fusion,0.811,79.6,60.9,209.1
XGBc+XGBa+GBSA+CWGB+Stk,5,Simple Mean,0.802,91.9,76.7,289.1
XGBc+XGBa+GBSA+CWGB+Stk,5,Trimmed Mean,0.811,87.1,57.9,305.2
XGBc+XGBa+GBSA+CWGB+Stk,5,Median,0.811,96.1,58.4,410.0
XGBc+XGBa+GBSA+CWGB+Stk,5,Geometric Mean,0.792,80.7,70.9,193.7
XGBc+XGBa+GBSA+CWGB+Stk,5,Inv-MAE Weighted,0.802,88.0,68.8,255.0
XGBc+XGBa+GBSA+CWGB+Stk,5,Rank Fusion,0.811,77.7,63.8,209.1
Cox+Weib+XGBc+XGBa+GBSA+CWGB,6,Simple Mean,0.792,115.4,95.5,436.3
Cox+Weib+XGBc+XGBa+GBSA+CWGB,6,Trimmed Mean,0.802,107.6,71.6,521.9
Cox+Weib+XGBc+XGBa+GBSA+CWGB,6,Median,0.792,125.1,63.8,756.5
Cox+Weib+XGBc+XGBa+GBSA+CWGB,6,Geometric Mean,0.792,82.6,55.8,209.0
Cox+Weib+XGBc+XGBa+GBSA+CWGB,6,Inv-MAE Weighted,0.821,104.6,87.1,383.1
Cox+Weib+XGBc+XGBa+GBSA+CWGB,6,Rank Fusion,0.792,78.5,63.8,209.1
Cox+Weib+XGBc+XGBa+GBSA+Stk,6,Simple Mean,0.802,105.2,75.1,384.3
Cox+Weib+XGBc+XGBa+GBSA+Stk,6,Trimmed Mean,0.821,98.5,61.8,443.9
Cox+Weib+XGBc+XGBa+GBSA+Stk,6,Median,0.802,113.2,64.1,600.5
Cox+Weib+XGBc+XGBa+GBSA+Stk,6,Geometric Mean,0.792,80.8,56.4,192.2
Cox+Weib+XGBc+XGBa+GBSA+Stk,6,Inv-MAE Weighted,0.802,94.5,71.7,337.8
Cox+Weib+XGBc+XGBa+GBSA+Stk,6,Rank Fusion,0.783,90.1,73.8,209.1
Cox+Weib+XGBc+XGBa+CWGB+Stk,6,Simple Mean,0.802,101.9,82.3,372.8
Cox+Weib+XGBc+XGBa+CWGB+Stk,6,Trimmed Mean,0.811,97.8,67.8,426.6
Cox+Weib+XGBc+XGBa+CWGB+Stk,6,Median,0.783,112.6,64.1,566.0
Cox+Weib+XGBc+XGBa+CWGB+Stk,6,Geometric Mean,0.783,83.3,72.0,180.9
Cox+Weib+XGBc+XGBa+CWGB+Stk,6,Inv-MAE Weighted,0.811,92.4,72.7,336.5
Cox+Weib+XGBc+XGBa+CWGB+Stk,6,Rank Fusion,0.792,81.5,63.8,209.1
Cox+Weib+XGBc+GBSA+CWGB+Stk,6,Simple Mean,0.783,130.1,106.2,548.1
Cox+Weib+XGBc+GBSA+CWGB+Stk,6,Trimmed Mean,0.792,127.1,90.0,678.5
Cox+Weib+XGBc+GBSA+CWGB+Stk,6,Median,0.783,127.4,69.9,756.5
Cox+Weib+XGBc+GBSA+CWGB+Stk,6,Geometric Mean,0.764,110.3,77.4,412.9
Cox+Weib+XGBc+GBSA+CWGB+Stk,6,Inv-MAE Weighted,0.783,122.8,98.1,525.5
Cox+Weib+XGBc+GBSA+CWGB+Stk,6,Rank Fusion,0.783,95.2,108.3,172.3
Cox+Weib+XGBa+GBSA+CWGB+Stk,6,Simple Mean,0.792,122.8,102.7,540.7
Cox+Weib+XGBa+GBSA+CWGB+Stk,6,Trimmed Mean,0.802,124.5,90.0,678.5
Cox+Weib+XGBa+GBSA+CWGB+Stk,6,Median,0.802,124.2,64.0,756.5
Cox+Weib+XGBa+GBSA+CWGB+Stk,6,Geometric Mean,0.792,92.9,67.7,377.6
Cox+Weib+XGBa+GBSA+CWGB+Stk,6,Inv-MAE Weighted,0.792,110.1,86.0,482.0
Cox+Weib+XGBa+GBSA+CWGB+Stk,6,Rank Fusion,0.811,80.6,56.6,209.1
Cox+XGBc+XGBa+GBSA+CWGB+Stk,6,Simple Mean,0.811,96.3,81.0,372.8
Cox+XGBc+XGBa+GBSA+CWGB+Stk,6,Trimmed Mean,0.811,93.3,57.9,426.6
Cox+XGBc+XGBa+GBSA+CWGB+Stk,6,Median,0.802,99.1,44.0,566.0
